Identifier 1,cal d13C,cal %C,cal d15N,cal %N,C:N,,File,,,,,,
EP41-18-CC-01,-25.29,45.49,12.32,13.22,3.44,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP43-18-EGS-01,-25.73,47.64,-5.37,10.86,4.39,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP43-18-EGS-02,-25.98,47.93,-1.81,11.03,4.35,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP43-18-EGS-02,-25.77,47.16,-1.90,11.13,4.24,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP43-18-EGS-02,-25.94,46.99,-1.50,10.86,4.33,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP43-18-EGS-03,-25.83,46.66,-4.04,10.63,4.39,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP43-18-DET-01,-26.00,35.52,-0.85,0.64,55.63,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP43-18-DT-02,-26.12,33.70,-0.65,0.62,54.49,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP43-18-DT-03,-26.16,34.21,-0.88,0.64,53.76,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
EP43-18-WBM-01,-33.51,54.31,6.55,9.34,5.81,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-SC-01,-28.03,49.55,4.38,1.93,25.61,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-CATD-01,-27.82,37.92,5.40,11.32,3.35,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-CATD-01,-28.03,39.38,5.58,12.42,3.17,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-CATD-01,-28.15,37.19,5.05,10.46,3.56,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-CATC-01,-29.48,50.60,8.30,12.09,4.18,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-EGS-01,-27.31,44.95,1.83,8.68,5.18,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-DT-01,-27.20,33.72,8.06,1.38,24.41,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-DT-02,-28.33,41.80,8.17,0.87,48.05,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-DT-03,-27.59,25.32,8.10,1.36,18.59,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-WBM-01,-32.20,50.83,11.27,8.76,5.81,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-WBM-02,-32.38,51.80,11.45,8.64,5.99,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-WBM-03,-32.14,48.04,11.40,8.00,6.00,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-AL-01,-17.65,15.19,11.24,1.08,14.06,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-AL-02,-17.92,16.23,11.20,1.17,13.88,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT3-18-AL-03,-18.34,17.43,11.18,1.32,13.24,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
AT1-18-AL-03,-27.45,11.75,10.69,1.00,11.80,,"Marie Gutgesell Run #1,2,3 Part 2 + reruns- May 2019",,,,,,
,,,,,,,,,,,,,
EP43-18-WBM-02,-33.01,55.74,6.57,9.03,6.17,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
EP43-18-WBM-03,-33.13,52.68,6.87,8.85,5.95,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
EP43-18-ALGAE-01,-28.46,13.48,1.69,1.01,13.36,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
EP43-18-AL-02,-29.31,15.14,1.38,1.13,13.37,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
EP43-18-AL-03,-28.81,14.46,1.33,1.14,12.68,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
AT1-18-CC-01,-26.10,47.16,12.69,13.03,3.62,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
AT1-18-CC-02,-25.94,46.42,12.90,13.07,3.55,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
AT3-18-BS-04,-28.41,45.15,15.42,11.96,3.78,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
AT3-18-WS-06,-31.64,45.83,12.88,12.38,3.70,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
AT3-18-CS-05,-25.84,44.83,15.70,12.74,3.52,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
AT1-18-SC-02,-27.80,48.01,5.38,1.73,27.74,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
AT1-18-SC-03,-27.83,46.86,5.40,1.72,27.22,,Larocque Lake Ont 2019 Subset Run #2 + Gutgesell reruns- May 2019,,,,,,
,,,,,,,,,,,,,
AT2-18-CC-37,-25.49,43.61,11.77,12.91,3.38,,Laura Feyrer Run #1- May 2019,,,,,,
HC3-18-BND-07,-28.38,48.25,14.87,13.55,3.56,,Laura Feyrer Run #1- May 2019,,,,,,
