Season,Date,Date_yyyy_mm_dd,Site ,Standard_Site_Code,Sample_Type,Species,MNR_Species_Code,Fish_Number,Sample_ID,Number_of_Individuals,Fork_Length_mm,Fork_Length_per_individual_mm,Total_Length_mm,Total_Length_per_individual_mm,Weight_lb,Weight_g ,Weight_per_individual_lb ,Weight_per_individual_g,Kept,Sex,SI_tissue_taken,Stomach_Contents,Pass_Number,Pria_Fish_Number,Notes
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,CC,212,9,EP41-18-CC-9,1,161,161,169,169,0.1301,59,0.130073,59,Y,M,Y,insects,Spot Check,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,1,AT1-18-BS-1,1,NA,NA,47,47,0.0022,1,0.002205,1,Y,F,Y,Unidentifiable,2,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,2,AT1-18-BS-2,1,NA,NA,41,41,0.0011,0.5,0.001102,0.5,Y,M,Y,egg,2,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,3,AT1-18-BS-3,1,NA,NA,39,39,0.0022,1,0.002205,1,Y,F,Y,UNK,2,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,4,AT1-18-BS-4,1,NA,NA,45,45,0.0022,1,0.002205,1,Y,F,Y,insects,3,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,5,AT1-18-BS-5,1,NA,NA,41,41,0.0011,0.5,0.001102,0.5,Y,M,Y,Unidentifiable,3,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,6,AT1-18-BS-6,1,NA,NA,43,43,0.0022,1,0.002205,1,Y,M,Y,Unidentifiable,3,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,1,HC2-18-BND-1,1,35,35,38,38,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,2,HC2-18-BND-2,1,35,35,37,37,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,3,HC2-18-BND-3,1,33,33,35,35,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,tail damage
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,4,HC2-18-BND-4,1,34,34,36,36,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
