,date_iD,Date,Site_ID,sample code,subset sample code,lot code (#),provisional ID (order),family ID,abundance,notes,Replicate,small,medium,big,notes
,15/6/2018,2018-05-21,HC,HC-BM-21.05.18,HC-BM-21.05.18-S,HC-BM-21.05.18-S-6,Coleoptera,Elmidae,2,H4,Rep_1,,,,
,15/6/2018,2018-05-21,HC,HC-BM-21.05.18,HC-BM-21.05.18-S,HC-BM-21.05.18-S-7,Bivalva,,11,H5,Rep_1,,,,
,19/6/2018,2018-05-24,AT,AT-BM-24.05.18,AT-BM-24.05.18-S,AT-BM-24.05.18-S-1,Plecoptera,Perlodidae,21,J1,Rep_1,11,21,,"D6, D7"
,19/6/2018,2018-05-24,AT,AT-BM-24.05.18,AT-BM-24.05.18-S,AT-BM-24.05.18-S-2,Diptera,Chironomidae L,2,J2,Rep_1,,,,
,19/6/2018,2018-05-24,AT,AT-BM-24.05.18,AT-BM-24.05.18-S,AT-BM-24.05.18-S-3,Diptera,Chironomidae A,2,J3,Rep_1,,,,
,19/6/2018,2018-05-24,AT,AT-BM-24.05.18,AT-BM-24.05.18-S,AT-BM-24.05.18-S-4,Gastropoda,,6,J4,Rep_1,,,,
,19/6/2018,2018-05-24,AT,AT-BM-24.05.18,AT-BM-24.05.18-S,AT-BM-24.05.18-S-5,annelida,,1,J5,Rep_1,,,,
,19/6/2018,2018-05-24,EP4,EP4-BM-24.05.18,EP4-BM-24.05.18-S,EP4-BM-24.05.18-S-1,annelida,,12,J6,Rep_1,21,1,,"D8, D9"
,19/6/2018,2018-05-24,EP4,EP4-BM-24.05.18,EP4-BM-24.05.18-S,EP4-BM-24.05.18-S-2,Diptera,Chironomidae L,10,J7,Rep_1,,,,
,19/6/2018,2018-05-24,EP4,EP4-BM-24.05.18,EP4-BM-24.05.18-S,EP4-BM-24.05.18-S-3,Bivalva,,1,J8,Rep_1,,,,
,18/6/2018,2018-05-24,HC,HC-BM-24.05.18,HC-BM-24.05.18-S,HC-BM-24.05.18-S-1,Amphipoda,,15,I6,Rep_1,19,13,,"D4, D5"
,18/6/2018,2018-05-24,HC,HC-BM-24.05.18,HC-BM-24.05.18-S,HC-BM-24.05.18-S-2,Diptera,Chironomidae L,8,I7,Rep_1,,,,
,18/6/2018,2018-05-24,HC,HC-BM-24.05.18,HC-BM-24.05.18-S,HC-BM-24.05.18-S-3,Gastropoda,,3,I8,Rep_1,,,,
,18/6/2018,2018-05-24,HC,HC-BM-24.05.18,HC-BM-24.05.18-S,HC-BM-24.05.18-S-4,Bivalva,,4,I9,Rep_1,,,,
,18/6/2018,2018-05-24,HC,HC-BM-24.05.18,HC-BM-24.05.18-S,HC-BM-24.05.18-S-5,annelida,,4,I10,Rep_1,,,,
